Date;Time (UTC);Latitude;Longitude;Region name;Depth;Magnitude;Strike1;Dip1;Rake1;Strike2;Dip2;Rake2;Agency,
2025-01-08;07:44:25.3;34.760;97.610;SOUTHERN QINGHAI, CHINA;26;5.5;130;74;4;38;86;164;CPPT
2025-01-08;07:44:23.9;34.770;97.514;SOUTHERN QINGHAI, CHINA;16;5.5;314;82;15;222;76;171;GFZ
2025-01-08;01:30:02.0;39.891;41.753;EASTERN TURKEY;15;4.5;217;65;9;123;81;155;DDA,
2025-01-08;01:30:01.0;39.850;41.760;EASTERN TURKEY;10;4.5;118;88;159;208;69;1;KAN,
2025-01-08;00:53:28.1;8.868;40.040;ETHIOPIA;6;5.2;200;54;-87;14;36;-95;GFZ,
2025-01-07;17:23:49.5;24.344;142.112;VOLCANO ISLANDS, JAPAN REGION;521;5.3;176;66;115;308;34;47;GFZ
2025-01-07;17:23:49.0;24.277;142.104;VOLCANO ISLANDS, JAPAN REGION;543;5.2;336;28;62;186;65;104;SC4
2025-01-07;16:39:01.1;-37.779;77.828;MID-INDIAN RIDGE;10;5.1;335;87;-173;244;83;-3;GFZ,
2025-01-07;08:31:33.0;31.655;138.279;IZU ISLANDS, JAPAN REGION;377;5.5;113;21;-146;350;78;-73;GFZ
2025-01-07;08:31:33.0;31.630;138.310;IZU ISLANDS, JAPAN REGION;375;5.6;118;32;-139;351;70;-65;CPPT
2025-01-07;08:31:33.0;31.635;138.396;IZU ISLANDS, JAPAN REGION;372;5.6;107;43;-170;9;83;-47;SC4
2025-01-07;08:31:33.0;31.640;138.190;IZU ISLANDS, JAPAN REGION;372;5.7;106;26;-156;354;80;-66;GCMT
2025-01-07;08:31:28.0;31.587;138.731;IZU ISLANDS, JAPAN REGION;380;5.6;107;26;-146;346;76;-68;NEIR
2025-01-07;01:05:28.0;28.351;87.385;WESTERN XIZANG;12;7.1;187;49;-78;349;42;-103;NEIR,
2025-01-07;01:05:27.0;28.560;87.470;WESTERN XIZANG;12;7.1;356;42;-88;173;48;-92;GCMT,
2025-01-07;01:05:27.0;28.506;87.578;WESTERN XIZANG;12;7.1;342;29;-116;191;64;-76;SC4,
2025-01-07;01:05:17.0;28.570;87.550;WESTERN XIZANG;12;7.1;343;38;-107;184;54;-77;CPPT,
2025-01-07;01:05:16.0;28.639;87.361;WESTERN XIZANG;14;7.2;196;44;-64;341;51;-113;IPGP,
2025-01-07;01:05:16.0;28.568;87.406;WESTERN XIZANG;14;7.1;164;41;-103;1;50;-79;GFZ,
2025-01-06;23:22:59.0;9.247;39.838;ETHIOPIA;7;4.7;205;59;-73;353;35;-117;GFZ,
2025-01-06;16:44:50.0;35.801;142.030;OFF EAST COAST OF HONSHU, JAPAN;12;5.0;195;31;61;47;63;106;NEIR
2025-01-06;15:26:47.0;33.472;87.076;WESTERN XIZANG;16;5.0;157;42;-109;3;51;-74;GFZ,
2025-01-06;09:47:58.0;37.399;21.661;SOUTHERN GREECE;3;4.7;337;44;-69;130;48;-108;NOA,
2025-01-06;09:47:58.0;37.380;21.630;SOUTHERN GREECE;3;4.8;340;40;-66;130;54;-109;OCA,
2025-01-06;09:47:58.0;37.399;21.661;SOUTHERN GREECE;4;4.7;333;40;-79;138;51;-99;UPSL,
2025-01-06;09:47:57.0;37.379;21.596;SOUTHERN GREECE;8;4.8;156;52;-70;306;42;-113;GFZ,
